,beername
0,Goose Island Goose IPA
1,Goose Island 312 Urban Wheat Ale
2,Edelweiss Weissbier Hefetrub
3,Somersby Apple Cider
4,Apple Fox
5,Desperados
6,Egger Grapefruit Radler
7,Egger Radler
8,Stella Artois
9,Hoegaarden
10,Hoegaarden Rosee
11,Budweiser
12,Patagonia Bohemian Pilsener
13,Kronenbourg 1664 Blanc
14,Erdinger Weissbier
15,Paulaner Hefe-Weissbier
16,Paulaner Hefeweissbier Dunkel
17,Tiger Beer
18,Guinness Draught
19,Carlsberg Pilsner
20,Heineken
21,San Miguel Pale Pilsen
22,Tsingtao
23,Tsingtao Draft Beer 11º (Pure Draft Beer)
24,Cass Fresh
25,Hite Beer
26,Kloud Original Gravity
27,Terra
28,Max Cream
29,FiLite
30,Jeju Wit Ale
31,Jeju Pellong Ale
32,Jeju Baengnokdam Ale
33,HiteJinro Isul Tok Tok
34,Kabrew Gyeongbokgung Royal Pride IPA
35,ARK Seoulite Ale
36,Hop House 13 Lager
37,Blue Moon Belgian White
38,Volfas Engelman Pasaulio Skoniai IPA
39,Pilsner Urquell
40,Kozel Cerny (Dark) 10°
41,Sapporo Premium Beer / Draft Beer
42,Kirin Ichiban
43,Suntory The Premium Malt's
44,Sapporo Yebisu
45,Asahi Super Dry
46,Kabrew Kumiho Peach Ale
47,Cafri
48,Beck's
